Cell Line Name,Primary Disease,"RNAi (Achilles+DRIVE+Marcotte, DEMETER2)",Expression 22Q1 Public
NIHOVCAR3,Ovarian Cancer,-0.5455751734,5.939931765
KASUMI2,Leukemia,-0.5302456235,6.562547724
SKMEL5,Skin Cancer,-0.3876490514,5.822730148
PECAPJ41CLONED2,Head and Neck Cancer,-0.1478039731,3.404630684
NCIH1838,Lung Cancer,-0.1661901299,5.021479727
JHH5,Liver Cancer,0.004733242709,5.720278465
PECAPJ49,Head and Neck Cancer,-0.2155367463,4.098453246
SNU601,Gastric Cancer,-0.08385538404,4.508428653
NCIH2066,Lung Cancer,-0.5518454517,
GB1,Brain Cancer,-0.2186176108,5.011227255
A253,Head and Neck Cancer,-0.3575207008,4.607626221
UBLC1,Bladder Cancer,-0.1356566327,5.111865964
NCIH1623,Lung Cancer,-0.6819024406,4.95419631
GSS,Gastric Cancer,-0.335214934,5.294988268
NCIH1703,Lung Cancer,-0.6730643901,5.027242536
SJSA1,Bone Cancer,-0.1307761798,5.315783575
DMS273,Lung Cancer,-0.3190942637,4.676944359
HEPG2,Liver Cancer,-0.1943008729,5.171927354
LOXIMVI,Skin Cancer,-0.442734495,5.063934306
TE14,Esophageal Cancer,-0.06696200467,4.775577361
HT1376,Bladder Cancer,-0.3227464317,4.617063344
HCC1395,Breast Cancer,-0.2768852739,5.393690764
NCIH2882,Lung Cancer,0.0156106312,4.252476214
RMUGS,Ovarian Cancer,-0.04430447366,3.965322548
OAW42,Ovarian Cancer,0.03253934053,5.301587647
EKVX,Lung Cancer,-0.4409241944,5.16711703
KMRC2,Kidney Cancer,0.342793462,3.678071905
NCIH854,Lung Cancer,-0.332467528,5.322649262
HCC202,Breast Cancer,-0.4091282886,5.847746417
JIMT1,Breast Cancer,-0.07134979731,3.518535139
CAOV3,Ovarian Cancer,-0.2563257619,4.786596362
COLO680N,Esophageal Cancer,-0.05890044375,5.622344723
NCIH2291,Lung Cancer,-0.2397644056,4.799605422
RMGI,Ovarian Cancer,-0.1328835309,2.881664619
TCCSUP,Bladder Cancer,-0.2120764735,4.618238656
HMC18,Breast Cancer,-0.6977516888,4.788685711
SNUC1,Colon/Colorectal Cancer,-0.5850011527,4.351204277
HCC1833,Lung Cancer,-1.451869965,5.155425432
